mistake,correction,example
Counsel vs Council,Counsel / Council,❌ He sought counsel about the issue. / ✅ He sought council about the issue.
Defuse vs Diffuse,Defuse / Diffuse,❌ We must diffuse the bomb carefully. / ✅ We must defuse the bomb carefully.
Discreet vs Discrete,Discreet / Discrete,❌ Be discrete about this matter. / ✅ Be discreet about this matter.
Elicit vs Illicit,Elicit / Illicit,❌ His joke was illicit a laugh. / ✅ His joke elicited a laugh.
Emigrate vs Immigrate,Emigrate / Immigrate,❌ She will emigrate to Canada. / ✅ She will immigrate to Canada.
Envelop vs Envelope,Envelop / Envelope,❌ Please envelop the letter. / ✅ Please envelope the letter.
Farther vs Further,Farther / Further,❌ I can’t go any further. / ✅ I can’t go any farther.
Flair vs Flare,Flair / Flare,❌ He showed great flare in his performance. / ✅ He showed great flair in his performance.
Flaunt vs Flout,Flaunt / Flout,❌ Don’t flout your wealth. / ✅ Don’t flaunt your wealth.
For all intensive purposes,For all intents and purposes,"❌ For all intensive purposes, it’s done. / ✅ For all intents and purposes, it’s done."
Imply vs Infer,Imply / Infer,❌ I inferred he was lying. / ✅ I implied he was lying.
Ingenious vs Ingenuous,Ingenious / Ingenuous,❌ That was an ingenuous idea. / ✅ That was an ingenious idea.
Its vs It's,Its / It's,❌ Its raining outside. / ✅ It's raining outside.
Lay vs Lie,Lay / Lie,❌ I will lay down now. / ✅ I will lie down now.
Lead vs Led,Lead / Led,❌ She lead the project. / ✅ She led the project.
Leech vs Leach,Leech / Leach,❌ Don’t leech off others. / ✅ Don’t leech off others.
Lightning vs Lightening,Lightning / Lightening,❌ Lightening struck the tree. / ✅ Lightning struck the tree.
Loose vs Lose,Loose / Lose,❌ She might loose her keys. / ✅ She might lose her keys.
Moral vs Morale,Moral / Morale,❌ The moral of the story was clear. / ✅ The team's morale was high.
Passed vs Past,Passed / Past,❌ He walked past the park. / ✅ He walked past the park.
Pedal vs Peddle,Pedal / Peddle,❌ She peddled vegetables on the street. / ✅ She pedaled her bicycle.
Persecute vs Prosecute,Persecute / Prosecute,❌ The innocent were prosecuted. / ✅ The innocent were persecuted.
Personal vs Personnel,Personal / Personnel,❌ Personnel issues are confidential. / ✅ Personnel issues are confidential.
Principal vs Principle,Principal / Principle,❌ She explained the school principle. / ✅ She explained the school principal.
Quiet vs Quite,Quiet / Quite,❌ It was quite loud outside. / ✅ It was quiet outside.
Raise vs Rise,Raise / Rise,❌ The sun will raise in the east. / ✅ The sun will rise in the east.
Respectfully vs Respectively,Respectfully / Respectively,❌ They arrived respectfully at 9 and 10 a.m. / ✅ They arrived respectively at 9 and 10 a.m.
Stationary vs Stationery,Stationary / Stationery,❌ The bike is stationery. / ✅ The bike is stationary.
Than vs Then,Than / Then,❌ I will eat than go. / ✅ I will eat then go.
Their vs There,Their / There,❌ Their is no answer yet. / ✅ There is no answer yet.
To vs Too,To / Too,❌ I want too go. / ✅ I want to go.
Trail vs Trial,Trail / Trial,❌ The court will start a trail. / ✅ The court will start a trial.
Weather vs Whether,Weather / Whether,❌ I’m not sure weather he will come. / ✅ I’m not sure whether he will come.
Who vs Whom,Who / Whom,❌ Whom is calling? / ✅ Who is calling?
Your vs You're,Your / You're,❌ Your welcome. / ✅ You're welcome.
Accept vs Except,Accept / Except,❌ Everyone accept him was invited. / ✅ Everyone except him was invited.
Affect vs Effect,Affect / Effect,❌ This will effect the results. / ✅ This will affect the results.
Allusion vs Illusion,Allusion / Illusion,❌ The magician created an allusion of ghosts. / ✅ The magician created an illusion of ghosts.
Altar vs Alter,Altar / Alter,❌ They changed the altar to the plan. / ✅ They altered the plan.
Among vs Between,Among / Between,❌ Distribute the gifts between the children. / ✅ Distribute the gifts among the children.
Amount vs Number,Amount / Number,❌ The amount of participants was large. / ✅ The number of participants was large.
Assure vs Ensure,Assure / Ensure,❌ I assure that the task will be done. / ✅ I ensure that the task will be done.
Breath vs Breathe,Breath / Breathe,❌ Take a deep breathe before you speak. / ✅ Take a deep breath before you speak.
Capital vs Capitol,Capital / Capitol,❌ The capital building is impressive. / ✅ The Capitol building is impressive.
Cite vs Site,Cite / Site,❌ Always site your sources. / ✅ Always cite your sources.
Complement vs Compliment,Complement / Compliment,❌ This wine compliments the meal. / ✅ This wine complements the meal.
Continual vs Continuous,Continual / Continuous,❌ There were continual interruptions. / ✅ There were continuous interruptions.
Counsel vs Council,Counsel / Council,❌ He needed counsel from the experts. / ✅ He sought counsel from the experts.
Defuse vs Diffuse,Defuse / Diffuse,❌ We need to diffuse the bomb. / ✅ We need to defuse the bomb.
Desert vs Dessert,Desert / Dessert,❌ I love eating desert after dinner. / ✅ I love eating dessert after dinner.
Discreet vs Discrete,Discreet / Discrete,❌ Please be discrete with this information. / ✅ Please be discreet with this information.
Elicit vs Illicit,Elicit / Illicit,❌ The law prohibits elicit drugs. / ✅ The law prohibits illicit drugs.
Emigrate vs Immigrate,Emigrate / Immigrate,❌ My family immigrated from Italy. / ✅ My family emigrated from Italy.
Envelop vs Envelope,Envelop / Envelope,❌ Please envelop the letter. / ✅ Please envelope the letter.
Farther vs Further,Farther / Further,❌ We can’t go any further. / ✅ We can’t go any farther.
Flair vs Flare,Flair / Flare,❌ He has a flair for music. / ✅ He has a flair for music.
Flaunt vs Flout,Flaunt / Flout,❌ She flouts her designer bags. / ✅ She flaunts her designer bags.
Gambit vs Gamut,Gambit / Gamut,❌ The artist used a wide gambit of colors. / ✅ The artist used a wide gamut of colors.
Hanged vs Hung,Hanged / Hung,❌ The man was hung for his crimes. / ✅ The man was hanged for his crimes.
Imply vs Infer,Imply / Infer,❌ I infer you are unhappy. / ✅ I imply you are unhappy.
Ingenious vs Ingenuous,Ingenious / Ingenuous,❌ She had an ingenuous plan. / ✅ She had an ingenious plan.
Its vs It's,Its / It's,❌ Its cold outside. / ✅ It's cold outside.
Lay vs Lie,Lay / Lie,❌ I will lay down now. / ✅ I will lie down now.
Lead vs Led,Lead / Led,❌ She lead the team well. / ✅ She led the team well.
Loose vs Lose,Loose / Lose,❌ Don’t loose your phone. / ✅ Don’t lose your phone.
Moral vs Morale,Moral / Morale,❌ The moral of the story was uplifting. / ✅ The team’s morale was high.
Passed vs Past,Passed / Past,❌ He passed through the city last week. / ✅ He passed through the city last week.
Pedal vs Peddle,Pedal / Peddle,❌ She peddled her bike furiously. / ✅ She pedaled her bike furiously.
Persecute vs Prosecute,Persecute / Prosecute,❌ Many were prosecuted for their beliefs. / ✅ Many were persecuted for their beliefs.
Personal vs Personnel,Personal / Personnel,❌ Personal decisions affect productivity. / ✅ Personnel decisions affect productivity.
Principal vs Principle,Principal / Principle,❌ The school’s principal taught math. / ✅ The school’s principal taught math.
Quiet vs Quite,Quiet / Quite,❌ The library was quite. / ✅ The library was quiet.
Raise vs Rise,Raise / Rise,❌ They will raise tomorrow. / ✅ They will rise tomorrow.
Respectfully vs Respectively,Respectfully / Respectively,❌ They arrived respectfully at 9 and 10 a.m. / ✅ They arrived respectively at 9 and 10 a.m.
Stationary vs Stationery,Stationary / Stationery,❌ The cyclist remained stationery. / ✅ The cyclist remained stationary.
Than vs Then,Than / Then,❌ I’ll eat than leave. / ✅ I’ll eat then leave.
Their vs There,Their / There,❌ Their is a problem. / ✅ There is a problem.
To vs Too,To / Too,❌ I want too go. / ✅ I want to go.
Weather vs Whether,Weather / Whether,❌ I don’t know weather he will come. / ✅ I don’t know whether he will come.
Who vs Whom,Who / Whom,❌ Whom is at the door? / ✅ Who is at the door?
Your vs You're,Your / You're,❌ Your going too fast. / ✅ You're going too fast.
All together vs Altogether,All together / Altogether,❌ We’re altogether ready. / ✅ We’re all together ready.
Amount vs Number,Amount / Number,❌ The amount of books is huge. / ✅ The number of books is huge.
Assure vs Ensure,Assure / Ensure,❌ I assure you it will be fine. / ✅ I ensure you it will be fine.
Breath vs Breathe,Breath / Breathe,❌ Take a deep breathe. / ✅ Take a deep breath.
Complement vs Compliment,Complement / Compliment,❌ Your tie compliments your shirt. / ✅ Your tie complements your shirt.
Continual vs Continuous,Continual / Continuous,❌ There were continual interruptions. / ✅ There were continuous interruptions.
Counsel vs Council,Counsel / Council,❌ The council advised him. / ✅ The counsel advised him.
Defuse vs Diffuse,Defuse / Diffuse,❌ We need to diffuse the conflict. / ✅ We need to defuse the conflict.
Discreet vs Discrete,Discreet / Discrete,❌ The numbers are discreet. / ✅ The numbers are discrete.
Emigrate vs Immigrate,Emigrate / Immigrate,❌ They immigrated from Canada last year. / ✅ They emigrated from Canada last year.
Envelop vs Envelope,Envelop / Envelope,❌ Please envelop the letter carefully. / ✅ Please envelope the letter carefully.
Farther vs Further,Farther / Further,❌ We drove farther than expected. / ✅ We drove further than expected.
Flair vs Flare,Flair / Flare,❌ She has great flare for drama. / ✅ She has great flair for drama.
Flaunt vs Flout,Flaunt / Flout,❌ Don’t flout the rules. / ✅ Don’t flaunt the rules.
Household vs House hold,Household / House hold,❌ There are ten people in the house hold. / ✅ There are ten people in the household.
Imply vs Infer,Imply / Infer,❌ I implied she was upset. / ✅ I inferred she was upset.
Ingenious vs Ingenuous,Ingenious / Ingenuous,❌ That was an ingenuous idea. / ✅ That was an ingenious idea.
Its vs It’s,Its / It’s,❌ Its my car. / ✅ It’s my car.
Lay vs Lie,Lay / Lie,❌ I will lay down now. / ✅ I will lie down now.
Lead vs Led,Lead / Led,❌ She lead the team. / ✅ She led the team.
Lightening vs Lightning,Lightning / Lightening,❌ The lightening struck the tree. / ✅ The lightning struck the tree.
Loose vs Lose,Loose / Lose,❌ I don’t want to loose the game. / ✅ I don’t want to lose the game.
Moral vs Morale,Moral / Morale,❌ The team had good moral. / ✅ The team had good morale.
Passed vs Past,Passed / Past,❌ He passed me on the street. / ✅ He passed me on the street.
Pedal vs Peddle,Pedal / Peddle,❌ She peddled her bike fast. / ✅ She pedaled her bike fast.
Personal vs Personnel,Personal / Personnel,❌ Personal file needs updating. / ✅ Personnel file needs updating.
Persecute vs Prosecute,Persecute / Prosecute,❌ Many were prosecuted for beliefs. / ✅ Many were persecuted for beliefs.
Principal vs Principle,Principal / Principle,❌ The principle of the school retired. / ✅ The principal of the school retired.
Quiet vs Quite,Quiet / Quite,❌ The place was quite. / ✅ The place was quiet.
Raise vs Rise,Raise / Rise,❌ The sun will raise soon. / ✅ The sun will rise soon.
Respectfully vs Respectively,Respectfully / Respectively,❌ They spoke respectfully at the meeting. / ✅ They arrived respectively by train and bus.
Stationary vs Stationery,Stationary / Stationery,❌ I need to buy stationary. / ✅ I need to buy stationery.
Than vs Then,Than / Then,❌ I’d rather wait then leave. / ✅ I’d rather wait than leave.
Their vs There,Their / There,❌ Their going to be late. / ✅ They’re going to be late.
To vs Too,To / Too,❌ I want too eat now. / ✅ I want to eat now.
Weather vs Whether,Weather / Whether,❌ I don’t know weather it will rain. / ✅ I don’t know whether it will rain.
Who vs Whom,Who / Whom,❌ Whom should I ask? / ✅ Who should I ask?
Your vs You’re,Your / You’re,❌ Your late again. / ✅ You’re late again.
Accept vs Except,Accept / Except,❌ Everyone accept John agreed. / ✅ Everyone except John agreed.
Affect vs Effect,Affect / Effect,❌ This will effect your progress. / ✅ This will affect your progress.
Allusion vs Illusion,Allusion / Illusion,❌ The story had an illusion to history. / ✅ The story had an allusion to history.
Altar vs Alter,Altar / Alter,❌ They married at the alter. / ✅ They married at the altar.
Among vs Between,Among / Between,❌ Distribute between the three friends. / ✅ Distribute among the three friends.
Amount vs Number,Amount / Number,❌ The amount of cars increased. / ✅ The number of cars increased.
Assure vs Ensure,Assure / Ensure,❌ I assure you it’s safe. / ✅ I ensure you it’s safe.
Breath vs Breathe,Breath / Breathe,❌ Take a deep breath. / ✅ Take a deep breath.
Capital vs Capitol,Capital / Capitol,❌ The capital building is historic. / ✅ The Capitol building is historic.
Cite vs Site,Cite / Site,❌ Always site your sources. / ✅ Always cite your sources.
Complement vs Compliment,Complement / Compliment,❌ Your scarf compliments your outfit. / ✅ Your scarf complements your outfit.
Continual vs Continuous,Continual / Continuous,❌ The noise was continual. / ✅ The noise was continuous.
Counsel vs Council,Counsel / Council,❌ She sought council from a lawyer. / ✅ She sought counsel from a lawyer.
Defuse vs Diffuse,Defuse / Diffuse,❌ We need to diffuse the bomb. / ✅ We need to defuse the bomb.
Desert vs Dessert,Desert / Dessert,❌ I prefer desert after meals. / ✅ I prefer dessert after meals.
Discreet vs Discrete,Discreet / Discrete,❌ Be discrete about the secret. / ✅ Be discreet about the secret.
Elicit vs Illicit,Elicit / Illicit,❌ Illicit drugs caused problems. / ✅ Illicit drugs caused problems.
Emigrate vs Immigrate,Emigrate / Immigrate,❌ He immigrated from Mexico. / ✅ He emigrated from Mexico.
Envelop vs Envelope,Envelop / Envelope,❌ Please envelop the letter. / ✅ Please envelope the letter.
Farther vs Further,Farther / Further,❌ We drove further than expected. / ✅ We drove farther than expected.
Flair vs Flare,Flair / Flare,❌ He has flair for the dramatic. / ✅ He has flair for the dramatic.
Flaunt vs Flout,Flaunt / Flout,❌ Don’t flout your wealth. / ✅ Don’t flaunt your wealth.
Gambit vs Gamut,Gambit / Gamut,❌ The artist used a wide gambit of colors. / ✅ The artist used a wide gamut of colors.
Hanged vs Hung,Hanged / Hung,❌ The sign was hanged on the wall. / ✅ The sign was hung on the wall.
Imply vs Infer,Imply / Infer,❌ I inferred from your words. / ✅ I implied from your words.
Ingenious vs Ingenuous,Ingenious / Ingenuous,❌ That was an ingenuous solution. / ✅ That was an ingenious solution.
Its vs It’s,Its / It’s,❌ Its a lovely day. / ✅ It’s a lovely day.
Lay vs Lie,Lay / Lie,❌ I will lay down for a nap. / ✅ I will lie down for a nap.
Lead vs Led,Lead / Led,❌ He lead the team to victory. / ✅ He led the team to victory.
Loose vs Lose,Loose / Lose,❌ Don’t loose your wallet. / ✅ Don’t lose your wallet.
Moral vs Morale,Moral / Morale,❌ The story had a good morale. / ✅ The story had a good moral.
Passed vs Past,Passed / Past,❌ He past me in the hallway. / ✅ He passed me in the hallway.
Pedal vs Peddle,Pedal / Peddle,❌ He peddled goods at the market. / ✅ He pedaled his bike to school.
Persecute vs Prosecute,Persecute / Prosecute,❌ They prosecuted the group unfairly. / ✅ They persecuted the group unfairly.
Personal vs Personnel,Personal / Personnel,❌ Personal records are confidential. / ✅ Personnel records are confidential.
Principal vs Principle,Principal / Principle,❌ The principal reason is clear. / ✅ The principal reason is clear.
Quiet vs Quite,Quiet / Quite,❌ The area was quite. / ✅ The area was quiet.
Raise vs Rise,Raise / Rise,❌ Prices will rise next month. / ✅ Prices will rise next month.
Respectfully vs Respectively,Respectfully / Respectively,❌ They arrived respectfully at 5 and 6. / ✅ They arrived respectively at 5 and 6.
Stationary vs Stationery,Stationary / Stationery,❌ The stationary store is closed. / ✅ The stationery store is closed.
Than vs Then,Than / Then,❌ I will go than stay. / ✅ I will go then stay.
Their vs There,Their / There,❌ Their going to the party. / ✅ They’re going to the party.
To vs Too,To / Too,❌ I want to go too. / ✅ I want to go too.
Weather vs Whether,Weather / Whether,❌ I don’t know weather it will rain. / ✅ I don’t know whether it will rain.
Who vs Whom,Who / Whom,❌ Whom will join us? / ✅ Who will join us?
Your vs You’re,Your / You’re,❌ Your welcome to stay. / ✅ You’re welcome to stay.
Accept vs Except,Accept / Except,❌ Everyone accept Mary. / ✅ Everyone except Mary.
Affect vs Effect,Affect / Effect,❌ The new policy will effect productivity. / ✅ The new policy will affect productivity.
Allusion vs Illusion,Allusion / Illusion,❌ The book contains an allusion to Shakespeare. / ✅ The book contains an illusion to Shakespeare.
Altar vs Alter,Altar / Alter,❌ They went to the altar for the wedding. / ✅ They went to the altar for the wedding.
Among vs Between,Among / Between,❌ Distribute the tasks between team members. / ✅ Distribute the tasks among team members.
Amount vs Number,Amount / Number,❌ The amount of money is high. / ✅ The number of dollars is high.
Assure vs Ensure,Assure / Ensure,❌ I assure you this will work. / ✅ I ensure you this will work.
Breath vs Breathe,Breath / Breathe,❌ Take a deep breathe. / ✅ Take a deep breath.
Capital vs Capitol,Capital / Capitol,❌ The capital building is historic. / ✅ The Capitol building is historic.
Cite vs Site,Cite / Site,❌ Always cite your sources. / ✅ Always cite your sources.
Complement vs Compliment,Complement / Compliment,❌ Your scarf complements your outfit. / ✅ Your scarf complements your outfit.
Continual vs Continuous,Continual / Continuous,❌ The noise was continual. / ✅ The noise was continuous.
Counsel vs Council,Counsel / Council,❌ He sought counsel from the lawyer. / ✅ He sought counsel from the lawyer.
Defuse vs Diffuse,Defuse / Diffuse,❌ We need to diffuse the situation. / ✅ We need to defuse the situation.
Desert vs Dessert,Desert / Dessert,❌ I love chocolate desert. / ✅ I love chocolate dessert.
Discreet vs Discrete,Discreet / Discrete,❌ Be discreet about the information. / ✅ Be discreet about the information.
Elicit vs Illicit,Elicit / Illicit,❌ The law prohibits elicit drugs. / ✅ The law prohibits illicit drugs.
Emigrate vs Immigrate,Emigrate / Immigrate,❌ They emigrated to the US. / ✅ They immigrated to the US.
Envelop vs Envelope,Envelop / Envelope,❌ Please envelope the letter. / ✅ Please envelope the letter.
Farther vs Further,Farther / Further,❌ We cannot go any farther. / ✅ We cannot go any further.
Flair vs Flare,Flair / Flare,❌ He has a flare for music. / ✅ He has flair for music.
Flaunt vs Flout,Flaunt / Flout,❌ Don’t flout the rules. / ✅ Don’t flaunt the rules.
Gambit vs Gamut,Gambit / Gamut,❌ He used a gambit of colors. / ✅ He used a gamut of colors.
Hanged vs Hung,Hanged / Hung,❌ The sign was hung. / ✅ The sign was hanged.
Imply vs Infer,Imply / Infer,❌ I infer you are upset. / ✅ I imply you are upset.
Ingenious vs Ingenuous,Ingenious / Ingenuous,❌ She was ingenuous in her speech. / ✅ She was ingenuous in her speech.
Its vs It’s,Its / It’s,❌ Its a nice day. / ✅ It’s a nice day.
Lay vs Lie,Lay / Lie,❌ I will lay down now. / ✅ I will lie down now.
Lead vs Led,Lead / Led,❌ She lead the team well. / ✅ She led the team well.
Leech vs Leach,Leech / Leach,❌ Don’t leech onto others. / ✅ Don’t leech onto others.
Lightning vs Lightening,Lightning / Lightening,❌ The lightning struck the tree. / ✅ The lightning struck the tree.
Loose vs Lose,Loose / Lose,❌ I might loose my keys. / ✅ I might lose my keys.
Moral vs Morale,Moral / Morale,❌ The team had good morals. / ✅ The team had high morale.
Passed vs Past,Passed / Past,❌ He passed through the city. / ✅ He passed through the city.
Pedal vs Peddle,Pedal / Peddle,❌ He peddled his bicycle. / ✅ He pedaled his bicycle.
Persecute vs Prosecute,Persecute / Prosecute,❌ They prosecuted the case. / ✅ They persecuted the case unfairly.
Personal vs Personnel,Personal / Personnel,❌ Personal files are confidential. / ✅ Personnel files are confidential.
Principal vs Principle,Principal / Principle,❌ The principle of the matter is clear. / ✅ The principal of the school is clear.
Quiet vs Quite,Quiet / Quite,❌ The room was quite. / ✅ The room was quiet.
Raise vs Rise,Raise / Rise,❌ The sun will rise soon. / ✅ The sun will rise soon.
Respectfully vs Respectively,Respectfully / Respectively,"❌ They came respectfully. / ✅ They arrived respectfully, at 8 and 9."
Stationary vs Stationery,Stationary / Stationery,❌ The stationary bike is broken. / ✅ The stationery store is nearby.
Than vs Then,Than / Then,❌ I’d rather stay than leave. / ✅ I’d rather stay than leave.
Their vs There,Their / There,❌ There books are missing. / ✅ Their books are missing.
To vs Too,To / Too,❌ I want too buy that. / ✅ I want to buy that.
Weather vs Whether,Weather / Whether,❌ I wonder weather it will rain. / ✅ I wonder whether it will rain.
Who vs Whom,Who / Whom,❌ Whom is calling? / ✅ Who is calling?
Your vs You’re,Your / You’re,❌ Your late. / ✅ You’re late.